VIN,Shipping Status,Base MSRP,Pre-Sold,Hold Status,Year,Drivetrain,Model,Color,Dealer,Dealer Website,Dealer State,Dealer Price,Markup,Image
2T3E6RFV0PW038099,Factory to port,36385,False,Available,2023,hybrid,XSE,Wind Chill Pearl/Midnight Black Metallic roof,Toyota of Deerfield Beach,https://www.toyotaofdeerfieldbeach.com,FL,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4/exteriorcolor/carjellyimage/7aadc299eb0e42a05e7eeb224f3a2fefbbf73069fc54b71dd411c2378b87d154_MY22_Rav4_US_XSE_Hybrid_AWD_02PS_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038121,Port to dealer,36385,False,DealerHold,2023,hybrid,XSE,Magnetic Gray Metallic/Midnight Black Metallic roof,Town Toyota,https://www.towntoyota.com,WA,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/99d81f711453463c935fd1d7241f2ca3ac57991f443a6496aa827579440e1283_MY22_Rav4_US_XSE_Hybrid_AWD_02QZ_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038149,Port to dealer,36385,True,DealerHold,2023,hybrid,XSE,Silver Sky Metallic/Midnight Black Metallic roof,Pearson Toyota,https://www.pearsontoyotascion.com,VA,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/99d81f711453463c935fd1d7241f2ca3ac57991f443a6496aa827579440e1283_MY22_Rav4_US_XSE_Hybrid_AWD_02QZ_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038183,Port to dealer,36385,True,,2023,hybrid,XSE,Magnetic Gray Metallic/Midnight Black Metallic roof,Toyota South,https://www.toyotasouth.com,KY,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/99d81f711453463c935fd1d7241f2ca3ac57991f443a6496aa827579440e1283_MY22_Rav4_US_XSE_Hybrid_AWD_02QZ_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038216,Port to dealer,36385,False,DealerHold,2023,hybrid,XSE,Wind Chill Pearl/Midnight Black Metallic roof,Deery Brothers Toyota,https://www.deerybrotherstoyota.com,IA,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4/exteriorcolor/carjellyimage/7aadc299eb0e42a05e7eeb224f3a2fefbbf73069fc54b71dd411c2378b87d154_MY22_Rav4_US_XSE_Hybrid_AWD_02PS_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038233,Factory to port,36385,False,Available,2023,hybrid,XSE,Silver Sky Metallic/Midnight Black Metallic roof,Lithia Toyota of Odessa,https://www.odessatoyota.com,TX,40380.0,3995.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/99d81f711453463c935fd1d7241f2ca3ac57991f443a6496aa827579440e1283_MY22_Rav4_US_XSE_Hybrid_AWD_02QZ_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038247,At dealer,36385,True,DealerHold,2023,hybrid,XSE,Silver Sky Metallic/Midnight Black Metallic roof,Tansky Sawmill Toyota,https://www.tanskysawmilltoyota.com,OH,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/99d81f711453463c935fd1d7241f2ca3ac57991f443a6496aa827579440e1283_MY22_Rav4_US_XSE_Hybrid_AWD_02QZ_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038250,Port to dealer,36385,False,DealerHold,2023,hybrid,XSE,Magnetic Gray Metallic/Midnight Black Metallic roof,Gates Toyota,https://www.gatestoyota.com,IN,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/99d81f711453463c935fd1d7241f2ca3ac57991f443a6496aa827579440e1283_MY22_Rav4_US_XSE_Hybrid_AWD_02QZ_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038264,Factory to port,36385,False,Available,2023,hybrid,XSE,Cavalry Blue/Midnight Black Metallic roof,Gettel Toyota of Lakewood,https://www.getteltoyotaoflakewood.com,FL,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a13a4bbbb9b85693377f8729ba389bd698600e069e2498eddd7cb5242aae4f70_MY22_Rav4_US_XSE_Hybrid_AWD_02VV_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038295,Factory to port,36385,False,Available,2023,hybrid,XSE,Wind Chill Pearl/Midnight Black Metallic roof,South Dade Toyota,https://www.southdadetoyota.com,FL,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4/exteriorcolor/carjellyimage/7aadc299eb0e42a05e7eeb224f3a2fefbbf73069fc54b71dd411c2378b87d154_MY22_Rav4_US_XSE_Hybrid_AWD_02PS_002_DS_Front_3_4_6K.png
